# Data from Zhou_reg_bas_hydro_cost_supply_curve,,,,,,,,
reg_nm,reg_id,bsn_nm,basin_glu,basin_id,year.fillout,maxSubResource,mid.price,curve.exponent
Europe_Non_EU,15,Adriatic_Sea_Greece_Black_Sea_Coast,AdrBlkSea,55,1975,0.09243759,0.563794,2.4048
Africa_Western,5,Africa_West_Coast,AfrCstW,142,1975,0.019271981,0.271622,6.2498
Central Asia,10,Amu_Darya,AmuDaryaR,58,1975,0.104890754,0.773181111,4.558333333
EU-12,12,Daugava,DaugavaR,25,1975,0.016210845,0.108721667,4.481666667
EU-15,13,Ems_Weser,EmsWeserR,28,1975,0.01064889,0.357220435,5.772565217
India,17,Godavari,GodavariR,123,1975,0.026031705,0.57153,7.2616
Southeast Asia,29,Gulf_of_Thailand_Coast,ThaiGulf,148,1975,0.012387498,0.5129125,4.5318
India,17,India_South_Coast,IndCstS,155,1975,0.035415135,0.57153,7.2616
India,17,India_West_Coast,IndCstW,129,1975,0.048007365,0.57153,7.2616
India,17,Krishna,KrishnaR,140,1975,0.062313615,0.57153,7.2616
India,17,Mahanadi,MahanadiR,122,1975,0.01229067,0.57153,7.2616
EU-15,13,Mediterranean_Sea_Islands,MeditIsl,63,1975,0.01008735,0.357220435,5.772565217
India,17,Narmada,NarmadaR,235,1975,0.032315745,0.57153,7.2616
South America_Southern,26,North_Chile_Pacific_Coast,ChileCstN,207,1975,0.01087027,0.538945714,3.243285714
India,17,Yasai,BengalW,118,1975,0.01303848,0.57153,7.2616
Africa_Eastern,2,Madagascar,Madagascar,177,1975,0.3629,2.13129,4.897
Africa_Eastern,2,Nile,NileR,87,1975,0.75379,0.85629,2.454
Africa_Eastern,2,Rift_Valley,RiftValley,179,1975,0.07688,0.06079,1
Africa_Eastern,2,Shebelli_Juba,ShebJubR,170,1975,0.10362,0.43354,1.631
Africa_Northern,3,Nile,NileR,87,1975,0.74931,0.1646,1.482
Africa_Southern,4,Africa_East_Central_Coast,AfrCstE,171,1975,0.06355,0.60191,1.381
Africa_Southern,4,Africa_Indian_Ocean_Coast,AfrCstSE,190,1975,0.02334,1.06325,2.647
Africa_Southern,4,Angola_Coast,AngolaCst,182,1975,0.23832,0.05669,1
Africa_Southern,4,Congo,CongoR,183,1975,0.74492,0.02166,3.668
Africa_Southern,4,Orange,OrangeR,194,1975,0.03026,0.03089,15
