,scenario,year,value,source
1,GRAPE-15 1.0EMF33_1.5C_cost100,2000,2622.611111,IPCC AR6
2,GRAPE-15 1.0EMF33_1.5C_full,2000,2622.611111,IPCC AR6
3,GRAPE-15 1.0EMF33_1.5C_nofuel,2000,2622.611111,IPCC AR6
4,GRAPE-15 1.0EMF33_Baseline,2000,2622.611111,IPCC AR6
5,GRAPE-15 1.0EMF33_Med2C_cost100,2000,2622.611111,IPCC AR6
6,GRAPE-15 1.0EMF33_Med2C_full,2000,2622.611111,IPCC AR6
7,GRAPE-15 1.0EMF33_Med2C_limbio,2000,2622.611111,IPCC AR6
8,GRAPE-15 1.0EMF33_Med2C_nobeccs,2000,2622.611111,IPCC AR6
9,GRAPE-15 1.0EMF33_Med2C_nofuel,2000,2622.611111,IPCC AR6
10,GRAPE-15 1.0EMF33_Med2C_none,2000,2622.611111,IPCC AR6
11,GRAPE-15 1.0EMF33_WB2C_cost100,2000,2622.611111,IPCC AR6
12,GRAPE-15 1.0EMF33_WB2C_full,2000,2622.611111,IPCC AR6
13,GRAPE-15 1.0EMF33_WB2C_limbio,2000,2622.611111,IPCC AR6
14,GRAPE-15 1.0EMF33_WB2C_nofuel,2000,2622.611111,IPCC AR6
15,GRAPE-15 1.0EMF33_tax_hi_full,2000,2622.611111,IPCC AR6
16,GRAPE-15 1.0EMF33_tax_hi_none,2000,2622.611111,IPCC AR6
17,GRAPE-15 1.0EMF33_tax_lo_full,2000,2622.611111,IPCC AR6
18,GRAPE-15 1.0EMF33_tax_lo_none,2000,2622.611111,IPCC AR6
19,IMAGE 3.0.2EMF33_Baseline,2000,2619.847964,IPCC AR6
20,IMAGE 3.0.2EMF33_Med2C_cost100,2000,2619.847964,IPCC AR6
21,IMAGE 3.0.2EMF33_Med2C_full,2000,2619.847964,IPCC AR6
22,IMAGE 3.0.2EMF33_Med2C_limbio,2000,2619.847964,IPCC AR6
23,IMAGE 3.0.2EMF33_Med2C_nobeccs,2000,2619.847964,IPCC AR6
24,IMAGE 3.0.2EMF33_Med2C_nofuel,2000,2619.847964,IPCC AR6
25,IMAGE 3.0.2EMF33_Med2C_none,2000,2619.847964,IPCC AR6
26,IMAGE 3.0.2EMF33_WB2C_cost100,2000,2619.847964,IPCC AR6
27,IMAGE 3.0.2EMF33_WB2C_full,2000,2619.847964,IPCC AR6
28,IMAGE 3.0.2EMF33_WB2C_limbio,2000,2619.847964,IPCC AR6
29,IMAGE 3.0.2EMF33_WB2C_nobeccs,2000,2619.847964,IPCC AR6
30,IMAGE 3.0.2EMF33_WB2C_nofuel,2000,2619.847964,IPCC AR6
31,IMAGE 3.0.2EMF33_tax_hi_full,2000,2619.847964,IPCC AR6
32,IMAGE 3.0.2EMF33_tax_hi_none,2000,2619.847964,IPCC AR6
33,IMAGE 3.0.2EMF33_tax_lo_full,2000,2619.847964,IPCC AR6
34,IMAGE 3.0.2EMF33_tax_lo_none,2000,2619.847964,IPCC AR6
35,MERGE-ETL 6.0BAU,2000,2916.666667,IPCC AR6
36,MERGE-ETL 6.0DAC15_50,2000,2916.666667,IPCC AR6
37,MERGE-ETL 6.0DAC2_66,2000,2916.666667,IPCC AR6
38,MESSAGE-GLOBIOM 1.0EMF33_1.5C_cost100,2000,2606.806897,IPCC AR6
39,MESSAGE-GLOBIOM 1.0EMF33_1.5C_full,2000,2606.806897,IPCC AR6
40,MESSAGE-GLOBIOM 1.0EMF33_Baseline,2000,2606.806897,IPCC AR6
41,MESSAGE-GLOBIOM 1.0EMF33_Med2C_cost100,2000,2606.806897,IPCC AR6
42,MESSAGE-GLOBIOM 1.0EMF33_Med2C_full,2000,2606.806897,IPCC AR6
43,MESSAGE-GLOBIOM 1.0EMF33_Med2C_limbio,2000,2606.806897,IPCC AR6
44,MESSAGE-GLOBIOM 1.0EMF33_Med2C_nobeccs,2000,2606.806897,IPCC AR6
45,MESSAGE-GLOBIOM 1.0EMF33_Med2C_nofuel,2000,2606.806897,IPCC AR6
46,MESSAGE-GLOBIOM 1.0EMF33_Med2C_none,2000,2606.806897,IPCC AR6
47,MESSAGE-GLOBIOM 1.0EMF33_WB2C_cost100,2000,2606.806897,IPCC AR6
48,MESSAGE-GLOBIOM 1.0EMF33_WB2C_full,2000,2606.806897,IPCC AR6
49,MESSAGE-GLOBIOM 1.0EMF33_WB2C_limbio,2000,2606.806897,IPCC AR6
50,MESSAGE-GLOBIOM 1.0EMF33_WB2C_nofuel,2000,2606.806897,IPCC AR6
51,MESSAGE-GLOBIOM 1.0EMF33_tax_hi_full,2000,2606.806897,IPCC AR6
52,MESSAGE-GLOBIOM 1.0EMF33_tax_hi_none,2000,2606.806897,IPCC AR6
53,MESSAGE-GLOBIOM 1.0EMF33_tax_lo_full,2000,2606.806897,IPCC AR6
54,MESSAGE-GLOBIOM 1.0EMF33_tax_lo_none,2000,2606.806897,IPCC AR6
55,MESSAGEix-GLOBIOM 1.0CD-LINKS_INDC2030i_1600,2000,2606.806897,IPCC AR6
56,MESSAGEix-GLOBIOM 1.0CD-LINKS_INDCi,2000,2606.806897,IPCC AR6
57,MESSAGEix-GLOBIOM 1.0CD-LINKS_NDC2030i_1000,2000,2606.806897,IPCC AR6
58,MESSAGEix-GLOBIOM 1.0CD-LINKS_NPi,2000,2606.806897,IPCC AR6
59,MESSAGEix-GLOBIOM 1.0CD-LINKS_NPi2020_1000,2000,2606.806897,IPCC AR6
60,MESSAGEix-GLOBIOM 1.0CD-LINKS_NPi2020_1600,2000,2606.806897,IPCC AR6
61,MESSAGEix-GLOBIOM 1.0CD-LINKS_NPi2020_400,2000,2606.806897,IPCC AR6
62,MESSAGEix-GLOBIOM 1.0CD-LINKS_NoPolicy,2000,2606.806897,IPCC AR6
63,MESSAGEix-GLOBIOM_1.0CO_2Deg2020,2000,2606.806897,IPCC AR6
64,MESSAGEix-GLOBIOM_1.0CO_2Deg2030,2000,2606.806897,IPCC AR6
65,MESSAGEix-GLOBIOM_1.0CO_BAU,2000,2606.806897,IPCC AR6
66,MESSAGEix-GLOBIOM_1.0CO_Bridge,2000,2606.806897,IPCC AR6
67,MESSAGEix-GLOBIOM_1.0CO_CurPol,2000,2606.806897,IPCC AR6
68,MESSAGEix-GLOBIOM_1.0CO_GPP,2000,2606.806897,IPCC AR6
69,MESSAGEix-GLOBIOM_1.0CO_NDC_2050convergence,2000,2606.806897,IPCC AR6
70,MESSAGEix-GLOBIOM_1.0CO_NDCplus,2000,2606.806897,IPCC AR6
71,MESSAGEix-GLOBIOM_1.1EN_INDCi2030_1000,2000,2616.092309,IPCC AR6
72,MESSAGEix-GLOBIOM_1.1EN_INDCi2030_1000_COV,2000,2616.092309,IPCC AR6
73,MESSAGEix-GLOBIOM_1.1EN_INDCi2030_1000_COV_NDCp,2000,2616.092309,IPCC AR6
74,MESSAGEix-GLOBIOM_1.1EN_INDCi2030_1000_NDCp,2000,2616.092309,IPCC AR6
75,MESSAGEix-GLOBIOM_1.1EN_INDCi2030_1000f,2000,2616.092309,IPCC AR6
76,MESSAGEix-GLOBIOM_1.1EN_INDCi2030_1000f_COV,2000,2616.092309,IPCC AR6
77,MESSAGEix-GLOBIOM_1.1EN_INDCi2030_1000f_COV_NDCp,2000,2616.092309,IPCC AR6
78,MESSAGEix-GLOBIOM_1.1EN_INDCi2030_1000f_NDCp,2000,2616.092309,IPCC AR6
79,MESSAGEix-GLOBIOM_1.1EN_INDCi2030_1200,2000,2616.092309,IPCC AR6
80,MESSAGEix-GLOBIOM_1.1EN_INDCi2030_1200_COV,2000,2616.092309,IPCC AR6
81,MESSAGEix-GLOBIOM_1.1EN_INDCi2030_1200_COV_NDCp,2000,2616.092309,IPCC AR6
82,MESSAGEix-GLOBIOM_1.1EN_INDCi2030_1200_NDCp,2000,2616.092309,IPCC AR6
83,MESSAGEix-GLOBIOM_1.1EN_INDCi2030_1200f,2000,2616.092309,IPCC AR6
84,MESSAGEix-GLOBIOM_1.1EN_INDCi2030_1200f_COV,2000,2616.092309,IPCC AR6
85,MESSAGEix-GLOBIOM_1.1EN_INDCi2030_1200f_COV_NDCp,2000,2616.092309,IPCC AR6
86,MESSAGEix-GLOBIOM_1.1EN_INDCi2030_1200f_NDCp,2000,2616.092309,IPCC AR6
87,MESSAGEix-GLOBIOM_1.1EN_INDCi2030_1400,2000,2616.092309,IPCC AR6
88,MESSAGEix-GLOBIOM_1.1EN_INDCi2030_1400_COV,2000,2616.092309,IPCC AR6
89,MESSAGEix-GLOBIOM_1.1EN_INDCi2030_1400_COV_NDCp,2000,2616.092309,IPCC AR6
90,MESSAGEix-GLOBIOM_1.1EN_INDCi2030_1400_NDCp,2000,2616.092309,IPCC AR6
91,MESSAGEix-GLOBIOM_1.1EN_INDCi2030_1400f,2000,2616.092309,IPCC AR6
92,MESSAGEix-GLOBIOM_1.1EN_INDCi2030_1400f_COV,2000,2616.092309,IPCC AR6
93,MESSAGEix-GLOBIOM_1.1EN_INDCi2030_1400f_COV_NDCp,2000,2616.092309,IPCC AR6
94,MESSAGEix-GLOBIOM_1.1EN_INDCi2030_1400f_NDCp,2000,2616.092309,IPCC AR6
95,MESSAGEix-GLOBIOM_1.1EN_INDCi2030_1600,2000,2616.092309,IPCC AR6
96,MESSAGEix-GLOBIOM_1.1EN_INDCi2030_1600_COV,2000,2616.092309,IPCC AR6
97,MESSAGEix-GLOBIOM_1.1EN_INDCi2030_1600_COV_NDCp,2000,2616.092309,IPCC AR6
98,MESSAGEix-GLOBIOM_1.1EN_INDCi2030_1600_NDCp,2000,2616.092309,IPCC AR6
99,MESSAGEix-GLOBIOM_1.1EN_INDCi2030_1600f,2000,2616.092309,IPCC AR6
100,MESSAGEix-GLOBIOM_1.1EN_INDCi2030_1600f_COV,2000,2616.092309,IPCC AR6
101,MESSAGEix-GLOBIOM_1.1EN_INDCi2030_1600f_COV_NDCp,2000,2616.092309,IPCC AR6
102,MESSAGEix-GLOBIOM_1.1EN_INDCi2030_1600f_NDCp,2000,2616.092309,IPCC AR6
103,MESSAGEix-GLOBIOM_1.1EN_INDCi2030_1800,2000,2616.092309,IPCC AR6
104,MESSAGEix-GLOBIOM_1.1EN_INDCi2030_1800_COV,2000,2616.092309,IPCC AR6
105,MESSAGEix-GLOBIOM_1.1EN_INDCi2030_1800_COV_NDCp,2000,2616.092309,IPCC AR6
