"","scenario","year","value","source"
"1","IMAGE 3.0.2EMF33_Baseline",2000,2619.84796444444,"IPCC SR15"
"2","IMAGE 3.0.2EMF33_Med2C_cost100",2000,2619.84796444444,"IPCC SR15"
"3","IMAGE 3.0.2EMF33_Med2C_full",2000,2619.84796444444,"IPCC SR15"
"4","IMAGE 3.0.2EMF33_Med2C_limbio",2000,2619.84796444444,"IPCC SR15"
"5","IMAGE 3.0.2EMF33_Med2C_nobeccs",2000,2619.84796444444,"IPCC SR15"
"6","IMAGE 3.0.2EMF33_Med2C_nofuel",2000,2619.84796444444,"IPCC SR15"
"7","IMAGE 3.0.2EMF33_Med2C_none",2000,2619.84796444444,"IPCC SR15"
"8","IMAGE 3.0.2EMF33_WB2C_cost100",2000,2619.84796444444,"IPCC SR15"
"9","IMAGE 3.0.2EMF33_WB2C_full",2000,2619.84796444444,"IPCC SR15"
"10","IMAGE 3.0.2EMF33_WB2C_limbio",2000,2619.84796444444,"IPCC SR15"
"11","IMAGE 3.0.2EMF33_WB2C_nobeccs",2000,2619.84796444444,"IPCC SR15"
"12","IMAGE 3.0.2EMF33_WB2C_nofuel",2000,2619.84796444444,"IPCC SR15"
"13","IMAGE 3.0.2EMF33_tax_hi_full",2000,2619.84796444444,"IPCC SR15"
"14","IMAGE 3.0.2EMF33_tax_hi_none",2000,2619.84796444444,"IPCC SR15"
"15","IMAGE 3.0.2EMF33_tax_lo_full",2000,2619.84796444444,"IPCC SR15"
"16","IMAGE 3.0.2EMF33_tax_lo_none",2000,2619.84796444444,"IPCC SR15"
"17","MERGE-ETL 6.0BAU",2000,2916.66666666667,"IPCC SR15"
"18","MERGE-ETL 6.0DAC15_50",2000,2916.66666666667,"IPCC SR15"
"19","MERGE-ETL 6.0DAC2_66",2000,2916.66666666667,"IPCC SR15"
"20","MESSAGE-GLOBIOM 1.0EMF33_1.5C_cost100",2000,2606.80689666667,"IPCC SR15"
"21","MESSAGE-GLOBIOM 1.0EMF33_1.5C_full",2000,2606.80689666667,"IPCC SR15"
"22","MESSAGE-GLOBIOM 1.0EMF33_Baseline",2000,2606.80689666667,"IPCC SR15"
"23","MESSAGE-GLOBIOM 1.0EMF33_Med2C_cost100",2000,2606.80689666667,"IPCC SR15"
"24","MESSAGE-GLOBIOM 1.0EMF33_Med2C_full",2000,2606.80689666667,"IPCC SR15"
"25","MESSAGE-GLOBIOM 1.0EMF33_Med2C_limbio",2000,2606.80689666667,"IPCC SR15"
"26","MESSAGE-GLOBIOM 1.0EMF33_Med2C_nobeccs",2000,2606.80689666667,"IPCC SR15"
"27","MESSAGE-GLOBIOM 1.0EMF33_Med2C_nofuel",2000,2606.80689666667,"IPCC SR15"
"28","MESSAGE-GLOBIOM 1.0EMF33_Med2C_none",2000,2606.80689666667,"IPCC SR15"
"29","MESSAGE-GLOBIOM 1.0EMF33_WB2C_cost100",2000,2606.80689666667,"IPCC SR15"
"30","MESSAGE-GLOBIOM 1.0EMF33_WB2C_full",2000,2606.80689666667,"IPCC SR15"
"31","MESSAGE-GLOBIOM 1.0EMF33_WB2C_limbio",2000,2606.80689666667,"IPCC SR15"
"32","MESSAGE-GLOBIOM 1.0EMF33_WB2C_nofuel",2000,2606.80689666667,"IPCC SR15"
"33","MESSAGE-GLOBIOM 1.0EMF33_tax_hi_full",2000,2606.80689666667,"IPCC SR15"
"34","MESSAGE-GLOBIOM 1.0EMF33_tax_hi_none",2000,2606.80689666667,"IPCC SR15"
"35","MESSAGE-GLOBIOM 1.0EMF33_tax_lo_full",2000,2606.80689666667,"IPCC SR15"
"36","MESSAGE-GLOBIOM 1.0EMF33_tax_lo_none",2000,2606.80689666667,"IPCC SR15"
"37","MESSAGEix-GLOBIOM 1.0CD-LINKS_INDCi",2000,2606.80689666667,"IPCC SR15"
"38","MESSAGEix-GLOBIOM 1.0CD-LINKS_NPi",2000,2606.80689666667,"IPCC SR15"
"39","MESSAGEix-GLOBIOM 1.0CD-LINKS_NPi2020_1000",2000,2606.80689666667,"IPCC SR15"
"40","MESSAGEix-GLOBIOM 1.0CD-LINKS_NPi2020_1600",2000,2606.80689666667,"IPCC SR15"
"41","MESSAGEix-GLOBIOM 1.0CD-LINKS_NPi2020_400",2000,2606.80689666667,"IPCC SR15"
"42","MESSAGEix-GLOBIOM 1.0CD-LINKS_NoPolicy",2000,2606.80689666667,"IPCC SR15"
"43","MESSAGEix-GLOBIOM 1.0LowEnergyDemand",2000,2606.80689666667,"IPCC SR15"
"44","POLES EMF33EMF33_1.5C_cost100",2000,2650.77670416667,"IPCC SR15"
"45","POLES EMF33EMF33_1.5C_full",2000,2650.77670416667,"IPCC SR15"
"46","POLES EMF33EMF33_1.5C_limbio",2000,2650.77670416667,"IPCC SR15"
"47","POLES EMF33EMF33_1.5C_nofuel",2000,2650.77670416667,"IPCC SR15"
"48","POLES EMF33EMF33_Baseline",2000,2650.77670416667,"IPCC SR15"
"49","POLES EMF33EMF33_Med2C_cost100",2000,2650.77670416667,"IPCC SR15"
"50","POLES EMF33EMF33_Med2C_full",2000,2650.77670416667,"IPCC SR15"
"51","POLES EMF33EMF33_Med2C_limbio",2000,2650.77670416667,"IPCC SR15"
"52","POLES EMF33EMF33_Med2C_nobeccs",2000,2650.77670416667,"IPCC SR15"
"53","POLES EMF33EMF33_Med2C_nofuel",2000,2650.77670416667,"IPCC SR15"
"54","POLES EMF33EMF33_Med2C_none",2000,2650.77670416667,"IPCC SR15"
"55","POLES EMF33EMF33_WB2C_cost100",2000,2650.77670416667,"IPCC SR15"
"56","POLES EMF33EMF33_WB2C_full",2000,2650.77670416667,"IPCC SR15"
"57","POLES EMF33EMF33_WB2C_limbio",2000,2650.77670416667,"IPCC SR15"
"58","POLES EMF33EMF33_WB2C_nobeccs",2000,2650.77670416667,"IPCC SR15"
"59","POLES EMF33EMF33_WB2C_nofuel",2000,2650.77670416667,"IPCC SR15"
"60","POLES EMF33EMF33_WB2C_none",2000,2650.77670416667,"IPCC SR15"
"61","POLES EMF33EMF33_tax_hi_full",2000,2650.77670416667,"IPCC SR15"
"62","POLES EMF33EMF33_tax_hi_none",2000,2650.77670416667,"IPCC SR15"
"63","POLES EMF33EMF33_tax_lo_full",2000,2650.77670416667,"IPCC SR15"
"64","POLES EMF33EMF33_tax_lo_none",2000,2650.77670416667,"IPCC SR15"
"65","ReferenceIEA Energy Statistics (r2017)",2000,2619.021,"IPCC SR15"
